"employees","salaries2017","salaryAdjustments","salaries2018","raiseFrom2017to2018"
"Employee 30",46647.5566662848,-4175.64027709886,42471.9163891859,FALSE
"Employee 31",43493.613852188,3242.6305511035,46736.2444032915,TRUE
"Employee 32",48460.7176366262,558.319868287072,49019.0375049133,TRUE
"Employee 33",43313.3179019205,7438.58414236456,50751.9020442851,TRUE
"Employee 34",49009.4722923823,-4878.8485233672,44130.6237690151,FALSE
"Employee 35",40592.8001739085,1389.19830555096,41981.9984794594,TRUE
"Employee 36",44100.9547724389,6890.29932837002,50991.2541008089,TRUE
"Employee 37",46847.5421867333,-3368.74164058827,43478.8005461451,FALSE
"Employee 38",40794.6687354706,4964.37687776051,45759.0456132311,TRUE
"Employee 39",46940.5020331033,-1461.00122481585,45479.5008082874,FALSE
"Employee 40",45453.4234129824,8494.64144092053,53948.0648539029,TRUE
"Employee 41",45152.5842351839,2327.41190586239,47479.9961410463,TRUE
"Employee 42",44388.141289819,9359.29517960176,53747.4364694208,TRUE
"Employee 43",41215.2438610792,7.85096432082355,41223.0948254,TRUE
"Employee 44",44651.1590224691,4802.04453109764,49453.2035535667,TRUE
"Employee 45",47764.7400577553,6582.75368739851,54347.4937451538,TRUE
"Employee 46",40486.6884974763,510.67998050712,40997.3684779834,TRUE
"Employee 47",41642.3652274534,6627.33941571787,48269.7046431713,TRUE
"Employee 48",46978.8830517791,-3438.79974912852,43540.0833026506,FALSE
"Employee 49",41563.4678676724,-2972.03727648593,38591.4305911865,FALSE
"Employee 50",44394.2530755885,7958.10440904461,52352.3574846331,TRUE
"Employee 51",45625.9229127318,1480.757095851,47106.6800085828,TRUE
"Employee 52",41772.5446377881,5052.0976469852,46824.6422847733,TRUE
"Employee 53",40183.8535140269,5970.26069764979,46154.1142116766,TRUE
"Employee 54",47542.5016484223,-166.424780618399,47376.0768678039,FALSE
"Employee 55",47349.9556235038,8341.65644599125,55691.612069495,TRUE
"Employee 56",42135.237834882,4764.77131829597,46900.009153178,TRUE
"Employee 57",47406.6773569211,8451.38965407386,55858.067010995,TRUE
"Employee 58",41847.8354485705,-1103.31149422564,40744.5239543449,FALSE
"Employee 59",49284.712660592,903.340799268335,50188.0534598604,TRUE
"Employee 60",44146.9334508292,-4097.47298806906,40049.4604627602,FALSE
"Employee 61",41561.3632486202,790.780183160678,42352.1434317809,TRUE
"Employee 62",43473.5765005462,-3033.52495888248,40440.0515416637,FALSE
"Employee 63",44264.1966394149,7736.09187104739,52000.2885104623,TRUE
"Employee 64",40087.3910845257,2396.02942718193,42483.4205117077,TRUE
"Employee 65",48595.792776905,3574.98471508734,52170.7774919923,TRUE
"Employee 66",43863.7318112887,9995.65721373074,53859.3890250195,TRUE
"Employee 67",46896.4589526877,-815.13017998077,46081.3287727069,FALSE
"Employee 68",40706.3110684976,-974.305318668485,39732.0057498291,FALSE
"Employee 69",41626.2984462082,1406.7967957817,43033.0952419899,TRUE
"Employee 70",43757.6411385089,3923.81744226441,47681.4585807733,TRUE
"Employee 71",46614.4306119531,5410.042864969,52024.4734769221,TRUE
"Employee 72",48923.4598958865,1818.43493483029,50741.8948307168,TRUE
"Employee 73",40514.6910203621,-948.807495879009,39565.8835244831,FALSE
"Employee 74",43027.249139268,-794.186695711687,42233.0624435563,FALSE
"Employee 75",47131.8296017125,723.977665184066,47855.8072668966,TRUE
"Employee 76",42621.2292327546,9962.25390466861,52583.4831374232,TRUE
"Employee 77",43630.1778769121,7801.00967967883,51431.1875565909,TRUE
"Employee 78",40014.2388814129,-640.03701787442,39374.2018635385,FALSE
"Employee 79",46588.6618942022,3972.71121037193,50561.3731045742,TRUE
"Employee 80",48041.3381871767,562.050234293565,48603.3884214703,TRUE
"Employee 81",47263.8169140555,6488.87295625173,53752.6898703072,TRUE
"Employee 82",41916.3946830668,-4353.80960814655,37562.5850749202,FALSE
"Employee 83",45125.669746194,8113.46424510702,53239.1339913011,TRUE
"Employee 84",40778.1951408833,7223.86414650828,48002.0592873916,TRUE
"Employee 85",47640.8954802901,2558.88298852369,50199.7784688137,TRUE
"Employee 86",45963.1822677329,6315.10887760669,52278.2911453396,TRUE
"Employee 87",42938.429042697,901.953150751069,43840.382193448,TRUE
"Employee 88",41319.1738841124,2210.04939870909,43529.2232828215,TRUE
"Employee 89",43699.2131127045,2301.59693630412,46000.8100490086,TRUE
"Employee 90",41722.9267279617,-3114.48236345313,38608.4443645086,FALSE
"Employee 91",44220.1301129535,-688.508236780763,43531.6218761727,FALSE
"Employee 92",41170.4945797101,607.415259582922,41777.909839293,TRUE
"Employee 93",41244.9768930674,-3877.52226204611,37367.4546310212,FALSE
"Employee 94",44783.6982388981,-4996.05857068673,39787.6396682113,FALSE
"Employee 95",42343.4529756196,-4484.62331667542,37858.8296589442,FALSE
"Employee 96",44625.3447141498,8568.83183820173,53194.1765523516,TRUE
"Employee 97",47197.1802972257,5009.4075105153,52206.587807741,TRUE
"Employee 98",47833.7072883733,6049.18457218446,53882.8918605577,TRUE
"Employee 99",46628.8995789364,7462.28650212288,54091.1860810593,TRUE
"Employee 100",46135.4340077378,990.383081370965,47125.8170891088,TRUE
